OptiLayer Substrate/Incident/Exit Medium Report, version: 15.12
15.01.2023 17:25:26
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Substrate/Incident/Exit Medium file: B 270 actual
Comment: valid range: 300 nm to 2500 nm

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
  761.0000    1.517368    0.0000000000
  762.0000    1.517345    0.0000000000
  763.0000    1.517321    0.0000000000
  764.0000    1.517298    0.0000000000
  765.0000    1.517275    0.0000000000
  766.0000    1.517253    0.0000000000
  767.0000    1.517230    0.0000000000
  768.0000    1.517207    0.0000000000
  769.0000    1.517184    0.0000000000
  770.0000    1.517162    0.0000000000
  771.0000    1.517139    0.0000000000
  772.0000    1.517117    0.0000000000
  773.0000    1.517094    0.0000000000
  774.0000    1.517072    0.0000000000
  775.0000    1.517050    0.0000000000
  776.0000    1.517027    0.0000000000
  777.0000    1.517005    0.0000000000
  778.0000    1.516983    0.0000000000
  779.0000    1.516961    0.0000000000
  780.0000    1.516939    0.0000000000
  781.0000    1.516917    0.0000000000
  782.0000    1.516896    0.0000000000
  783.0000    1.516874    0.0000000000
  784.0000    1.516852    0.0000000000
  785.0000    1.516831    0.0000000000
  786.0000    1.516809    0.0000000000
  787.0000    1.516787    0.0000000000
  788.0000    1.516766    0.0000000000
  789.0000    1.516745    0.0000000000
  790.0000    1.516723    0.0000000000
  791.0000    1.516702    0.0000000000
  792.0000    1.516681    0.0000000000
  793.0000    1.516660    0.0000000000
  794.0000    1.516639    0.0000000000
  795.0000    1.516618    0.0000000000
  796.0000    1.516597    0.0000000000
  797.0000    1.516576    0.0000000000
  798.0000    1.516555    0.0000000000
  799.0000    1.516534    0.0000000000
  800.0000    1.516514    0.0000000000
  801.0000    1.516493    0.0000000000
  802.0000    1.516472    0.0000000000
  803.0000    1.516452    0.0000000000
  804.0000    1.516431    0.0000000000
  805.0000    1.516411    0.0000000000
  806.0000    1.516390    0.0000000000
  807.0000    1.516370    0.0000000000
  808.0000    1.516350    0.0000000000
  809.0000    1.516330    0.0000000000
  810.0000    1.516310    0.0000000000
  811.0000    1.516289    0.0000000000
  812.0000    1.516269    0.0000000000
  813.0000    1.516249    0.0000000000
  814.0000    1.516229    0.0000000000
  815.0000    1.516210    0.0000000000
  816.0000    1.516190    0.0000000000
  817.0000    1.516170    0.0000000000
  818.0000    1.516150    0.0000000000
  819.0000    1.516131    0.0000000000
  820.0000    1.516111    0.0000000000
  821.0000    1.516091    0.0000000000
  822.0000    1.516072    0.0000000000
  823.0000    1.516052    0.0000000000
  824.0000    1.516033    0.0000000000
  825.0000    1.516014    0.0000000000
  826.0000    1.515994    0.0000000000
  827.0000    1.515975    0.0000000000
  828.0000    1.515956    0.0000000000
  829.0000    1.515937    0.0000000000
  830.0000    1.515918    0.0000000000
  831.0000    1.515899    0.0000000000
  832.0000    1.515880    0.0000000000
  833.0000    1.515861    0.0000000000
  834.0000    1.515842    0.0000000000
  835.0000    1.515823    0.0000000000
  836.0000    1.515804    0.0000000000
  837.0000    1.515785    0.0000000000
  838.0000    1.515766    0.0000000000
  839.0000    1.515748    0.0000000000
  840.0000    1.515729    0.0000000000
  841.0000    1.515711    0.0000000000
  842.0000    1.515692    0.0000000000
  843.0000    1.515673    0.0000000000
  844.0000    1.515655    0.0000000000
  845.0000    1.515637    0.0000000000
  846.0000    1.515618    0.0000000000
  847.0000    1.515600    0.0000000000
  848.0000    1.515582    0.0000000000
  849.0000    1.515563    0.0000000000
  850.0000    1.515545    0.0000000000
  851.0000    1.515527    0.0000000000
  852.0000    1.515509    0.0000000000
  853.0000    1.515491    0.0000000000
  854.0000    1.515473    0.0000000000
  855.0000    1.515455    0.0000000000
  856.0000    1.515437    0.0000000000
  857.0000    1.515419    0.0000000000
  858.0000    1.515401    0.0000000000
  859.0000    1.515384    0.0000000000
  860.0000    1.515366    0.0000000000
  861.0000    1.515348    0.0000000000
  862.0000    1.515330    0.0000000000
  863.0000    1.515313    0.0000000000
  864.0000    1.515295    0.0000000000
  865.0000    1.515278    0.0000000000
  866.0000    1.515260    0.0000000000
  867.0000    1.515243    0.0000000000
  868.0000    1.515225    0.0000000000
  869.0000    1.515208    0.0000000000
  870.0000    1.515190    0.0000000000
  871.0000    1.515173    0.0000000000
  872.0000    1.515156    0.0000000000
  873.0000    1.515139    0.0000000000
  874.0000    1.515121    0.0000000000
  875.0000    1.515104    0.0000000000
  876.0000    1.515087    0.0000000000
  877.0000    1.515070    0.0000000000
  878.0000    1.515053    0.0000000000
  879.0000    1.515036    0.0000000000
  880.0000    1.515019    0.0000000000
  881.0000    1.515002    0.0000000000
  882.0000    1.514985    0.0000000000
  883.0000    1.514968    0.0000000000
  884.0000    1.514952    0.0000000000
  885.0000    1.514935    0.0000000000
  886.0000    1.514918    0.0000000000
  887.0000    1.514901    0.0000000000
  888.0000    1.514885    0.0000000000
  889.0000    1.514868    0.0000000000
  890.0000    1.514851    0.0000000000
  891.0000    1.514835    0.0000000000
  892.0000    1.514818    0.0000000000
  893.0000    1.514802    0.0000000000
  894.0000    1.514785    0.0000000000
  895.0000    1.514769    0.0000000000
  896.0000    1.514752    0.0000000000
  897.0000    1.514736    0.0000000000
  898.0000    1.514720    0.0000000000
  899.0000    1.514703    0.0000000000
  900.0000    1.514687    0.0000000000
  901.0000    1.514671    0.0000000000
  902.0000    1.514655    0.0000000000
  903.0000    1.514639    0.0000000000
  904.0000    1.514623    0.0000000000
  905.0000    1.514606    0.0000000000
  906.0000    1.514590    0.0000000000
  907.0000    1.514574    0.0000000000
  908.0000    1.514558    0.0000000000
  909.0000    1.514542    0.0000000000
  910.0000    1.514526    0.0000000000
  911.0000    1.514511    0.0000000000
  912.0000    1.514495    0.0000000000
  913.0000    1.514479    0.0000000000
  914.0000    1.514463    0.0000000000
  915.0000    1.514447    0.0000000000
  916.0000    1.514431    0.0000000000
  917.0000    1.514416    0.0000000000
  918.0000    1.514400    0.0000000000
  919.0000    1.514384    0.0000000000
  920.0000    1.514369    0.0000000000
  921.0000    1.514353    0.0000000000
  922.0000    1.514338    0.0000000000
  923.0000    1.514322    0.0000000000
  924.0000    1.514307    0.0000000000
  925.0000    1.514291    0.0000000000
  926.0000    1.514276    0.0000000000
  927.0000    1.514260    0.0000000000
  928.0000    1.514245    0.0000000000
  929.0000    1.514230    0.0000000000
  930.0000    1.514214    0.0000000000
  931.0000    1.514199    0.0000000000
  932.0000    1.514184    0.0000000000
  933.0000    1.514168    0.0000000000
  934.0000    1.514153    0.0000000000
  935.0000    1.514138    0.0000000000
  936.0000    1.514123    0.0000000000
  937.0000    1.514108    0.0000000000
  938.0000    1.514093    0.0000000000
  939.0000    1.514077    0.0000000000
  940.0000    1.514062    0.0000000000
  941.0000    1.514047    0.0000000000
  942.0000    1.514032    0.0000000000
  943.0000    1.514017    0.0000000000
  944.0000    1.514002    0.0000000000
  945.0000    1.513988    0.0000000000
  946.0000    1.513973    0.0000000000
  947.0000    1.513958    0.0000000000
  948.0000    1.513943    0.0000000000
  949.0000    1.513928    0.0000000000
  950.0000    1.513913    0.0000000000
  951.0000    1.513899    0.0000000000
  952.0000    1.513884    0.0000000000
  953.0000    1.513869    0.0000000000
  954.0000    1.513854    0.0000000000
  955.0000    1.513840    0.0000000000
  956.0000    1.513825    0.0000000000
  957.0000    1.513811    0.0000000000
  958.0000    1.513796    0.0000000000
  959.0000    1.513781    0.0000000000
  960.0000    1.513767    0.0000000000
  961.0000    1.513752    0.0000000000
  962.0000    1.513738    0.0000000000
  963.0000    1.513723    0.0000000000
  964.0000    1.513709    0.0000000000
  965.0000    1.513695    0.0000000000
  966.0000    1.513680    0.0000000000
  967.0000    1.513666    0.0000000000
  968.0000    1.513651    0.0000000000
  969.0000    1.513637    0.0000000000
  970.0000    1.513623    0.0000000000
  971.0000    1.513609    0.0000000000
  972.0000    1.513594    0.0000000000
  973.0000    1.513580    0.0000000000
  974.0000    1.513566    0.0000000000
  975.0000    1.513552    0.0000000000
  976.0000    1.513537    0.0000000000
  977.0000    1.513523    0.0000000000
  978.0000    1.513509    0.0000000000
  979.0000    1.513495    0.0000000000
  980.0000    1.513481    0.0000000000
  981.0000    1.513467    0.0000000000
  982.0000    1.513453    0.0000000000
  983.0000    1.513439    0.0000000000
  984.0000    1.513425    0.0000000000
  985.0000    1.513411    0.0000000000
  986.0000    1.513397    0.0000000000
  987.0000    1.513383    0.0000000000
  988.0000    1.513369    0.0000000000
  989.0000    1.513355    0.0000000000
  990.0000    1.513341    0.0000000000
  991.0000    1.513328    0.0000000000
  992.0000    1.513314    0.0000000000
  993.0000    1.513300    0.0000000000
  994.0000    1.513286    0.0000000000
  995.0000    1.513273    0.0000000000
  996.0000    1.513259    0.0000000000
  997.0000    1.513245    0.0000000000
  998.0000    1.513231    0.0000000000
  999.0000    1.513218    0.0000000000
 1000.0000    1.513204    0.0000000000
 1001.0000    1.513190    0.0000000000
 1002.0000    1.513177    0.0000000000
 1003.0000    1.513163    0.0000000000
 1004.0000    1.513150    0.0000000000
 1005.0000    1.513136    0.0000000000
 1006.0000    1.513122    0.0000000000
 1007.0000    1.513109    0.0000000000
 1008.0000    1.513095    0.0000000000
 1009.0000    1.513082    0.0000000000
 1010.0000    1.513069    0.0000000000
 1011.0000    1.513055    0.0000000000
 1012.0000    1.513042    0.0000000000
 1013.0000    1.513028    0.0000000000
 1014.0000    1.513015    0.0000000000
 1015.0000    1.513001    0.0000000000
 1016.0000    1.512988    0.0000000000
 1017.0000    1.512975    0.0000000000
 1018.0000    1.512961    0.0000000000
 1019.0000    1.512948    0.0000000000
 1020.0000    1.512935    0.0000000000
 1021.0000    1.512922    0.0000000000
 1022.0000    1.512908    0.0000000000
 1023.0000    1.512895    0.0000000000
 1024.0000    1.512882    0.0000000000
 1025.0000    1.512869    0.0000000000
 1026.0000    1.512856    0.0000000000
 1027.0000    1.512842    0.0000000000
